question1_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
,Q268_R4_C1,1.000,32,0.604,1.000,0.245,1
,Q268_R4_C2,0.963,488,0.922,1.000,0.531,1
,Q268_R4_C3,0.979,188,0.867,1.000,0.367,1
,Q268_R4_C4,1.000,36,0.620,1.000,0.334,1
,Q268_R4_C5,0.882,19,0.809,1.000,0.471,1
,Q268_R4_C6,0.842,77,0.877,1.000,0.455,1
,Q268_R4_C7,0.889,102,0.908,1.000,0.440,1
,Q268_R4_C8,0.952,0,0.817,1.000,0.346,1
,Q268_R4_C9,0.900,124,0.888,0.933,0.474,1
,Q268_R4_C10,0.947,204,0.892,1.000,0.347,1
,Q268_R5_C1,0.889,52,0.916,1.000,0.374,1
,Q268_R5_C2,0.923,37,0.597,1.000,0.340,0
,Q268_R5_C3,0.923,33,0.548,1.000,0.397,1
,Q268_R5_C4,0.946,376,0.930,1.000,0.526,1
,Q268_R5_C5,1.000,16,0.784,1.000,0.318,0
,Q268_R5_C6,0.875,35,0.806,1.000,0.286,0
,Q268_R5_C7,1.000,19,0.824,1.000,0.376,0
,Q268_R5_C8,1.000,15,0.673,1.000,0.421,1
,Q268_R5_C9,0.952,8,0.822,1.000,0.238,1
,Q268_R5_C10,1.000,40,0.809,1.000,0.338,1
,Q268_R10_C1,1.000,159,0.875,1.000,0.372,1
,Q268_R10_C2,0.900,3,0.870,1.000,0.567,1
,Q268_R10_C3,0.950,48,0.843,1.000,0.420,1
,Q268_R10_C4,0.933,27,0.862,1.000,0.493,1
,Q268_R10_C5,0.894,205,0.935,1.000,0.512,1
,Q268_R10_C6,0.872,146,0.918,0.980,0.592,1
,Q268_R10_C7,1.000,45,0.444,1.000,0.242,1
,Q268_R10_C8,0.964,42,0.888,1.000,0.568,0
,Q268_R10_C9,1.000,34,0.703,1.000,0.047,0
,Q268_R10_C10,1.000,40,0.501,1.000,-0.077,0
,Q268_R13_C1,0.939,78,0.913,0.972,0.378,1
,Q268_R13_C2,0.966,276,0.878,1.000,0.365,1
,Q268_R13_C3,1.000,26,0.867,1.000,0.481,1
,Q268_R13_C4,1.000,64,0.768,1.000,0.266,1
,Q268_R13_C5,1.000,44,0.386,1.000,-0.188,0
,Q268_R13_C6,0.946,379,0.900,1.000,0.148,1
,Q268_R13_C7,0.818,12,0.929,1.000,0.677,1
,Q268_R13_C8,1.000,48,0.563,1.000,0.159,0
,Q268_R13_C9,1.000,7,0.800,1.000,0.406,0
,Q268_R13_C10,0.919,365,0.919,1.000,0.622,1
,Q268_R14_C1,0.955,1,0.629,1.000,0.258,1
,Q268_R14_C2,1.000,43,0.829,1.000,0.376,1
,Q268_R14_C3,0.938,21,0.684,1.000,0.326,1
,Q268_R14_C4,0.947,12,0.815,1.000,0.372,0
,Q268_R14_C5,0.947,16,0.819,1.000,0.395,0
,Q268_R14_C6,1.000,43,0.857,1.000,0.347,0
,Q268_R14_C7,1.000,6,0.840,1.000,-0.049,0
,Q268_R14_C8,1.000,19,0.705,1.000,0.155,0
,Q268_R14_C9,0.972,112,0.874,1.000,0.201,1
,Q268_R14_C10,0.941,325,0.881,1.000,0.361,1
,Q268_R16_C1,0.964,38,0.869,1.000,0.314,0
,Q268_R16_C2,0.952,0,0.902,1.000,0.492,0
,Q268_R16_C3,0.935,168,0.878,1.000,0.478,0
,Q268_R16_C4,0.942,625,0.924,1.000,0.575,1
,Q268_R16_C5,0.979,134,0.844,1.000,0.357,1
,Q268_R16_C6,1.000,45,0.839,1.000,0.308,0
,Q268_R16_C7,0.967,267,0.893,1.000,0.419,0
,Q268_R16_C8,0.951,128,0.901,1.000,0.478,0
,Q268_R16_C9,0.962,267,0.873,1.000,0.262,1
,Q268_R16_C10,0.947,432,0.916,1.000,0.353,1
,Q268_R19_C1,1.000,39,0.811,1.000,0.331,1
,Q268_R19_C2,1.000,48,0.601,1.000,0.059,0
,Q268_R19_C3,0.957,158,0.902,1.000,0.299,1
,Q268_R19_C4,0.927,153,0.893,1.000,0.448,0
,Q268_R19_C5,0.947,107,0.899,1.000,0.266,1
,Q268_R19_C6,0.977,141,0.862,1.000,0.312,0
,Q268_R19_C7,0.971,84,0.867,1.000,0.390,1
,Q268_R19_C8,0.981,297,0.872,1.000,0.105,0
,Q268_R19_C9,0.957,461,0.882,1.000,0.273,1
,Q268_R19_C10,0.978,180,0.863,1.000,0.219,0
,Q268_R27_C1,1.000,5,0.824,1.000,0.299,0
,Q268_R27_C2,0.962,30,0.876,1.000,0.422,0
,Q268_R27_C3,0.850,2,0.896,1.000,0.658,0
,Q268_R27_C4,0.956,126,0.896,1.000,0.453,0
,Q268_R27_C5,1.000,9,0.861,1.000,0.188,0
,Q268_R27_C6,0.946,85,0.845,1.000,0.324,0
,Q268_R27_C7,1.000,3,0.815,1.000,0.277,0
,Q268_R27_C8,0.963,481,0.902,1.000,0.369,0
,Q268_R27_C9,0.917,110,0.896,1.000,0.421,0
,Q268_R27_C10,0.909,82,0.870,1.000,0.301,0
,Q268_R29_C1,1.000,75,0.780,1.000,-0.016,1
,Q268_R29_C2,0.919,95,0.826,1.000,0.279,0
,Q268_R29_C3,1.000,125,0.844,1.000,0.023,0
,Q268_R29_C4,0.947,513,0.888,1.000,0.518,1
,Q268_R29_C5,0.971,64,0.769,1.000,0.054,0
,Q268_R29_C6,0.911,310,0.917,1.000,0.444,1
,Q268_R29_C7,0.938,194,0.903,1.000,0.295,1
,Q268_R29_C8,0.976,99,0.811,1.000,0.086,0
,Q268_R29_C9,0.967,330,0.893,1.000,0.338,0
,Q268_R29_C10,0.943,703,0.902,0.994,0.525,1
,Q268_R31_C1,1.000,4,0.711,1.000,0.256,1
,Q268_R31_C2,1.000,16,0.845,1.000,0.412,1
,Q268_R31_C3,0.941,29,0.854,1.000,0.550,1
,Q268_R31_C4,1.000,41,0.600,1.000,0.165,1
,Q268_R31_C5,1.000,41,0.600,1.000,0.165,1
,Q268_R31_C6,1.000,41,0.600,1.000,0.165,1
,Q268_R31_C7,0.931,235,0.928,1.000,0.556,1
,Q268_R31_C8,0.933,34,0.522,1.000,0.415,1
,Q268_R31_C9,0.867,27,0.901,1.000,0.552,1
,Q268_R31_C10,0.923,59,0.910,1.000,0.482,1
,Q269_R3_C1,0.968,64,0.731,1.000,0.068,0
,Q269_R3_C2,0.950,510,0.912,1.000,0.407,0
,Q269_R3_C3,0.875,48,0.901,1.000,0.443,1
,Q269_R3_C4,0.898,173,0.931,0.983,0.316,0
,Q269_R3_C5,0.915,168,0.927,0.982,0.398,0
,Q269_R3_C6,0.955,8,0.784,1.000,0.144,0
,Q269_R3_C7,1.000,41,0.669,1.000,0.036,0
,Q269_R3_C8,1.000,56,0.848,1.000,0.250,0
,Q269_R3_C9,0.818,16,0.856,0.917,0.353,0
,Q269_R3_C10,1.000,6,0.653,1.000,0.100,0
,Q269_R7_C1,0.972,67,0.889,1.000,0.260,1
,Q269_R7_C2,0.920,17,0.780,1.000,0.136,1
,Q269_R7_C3,0.957,6,0.809,1.000,0.386,1
,Q269_R7_C4,0.941,32,0.710,1.000,0.319,1
,Q269_R7_C5,0.947,28,0.797,1.000,0.353,1
,Q269_R7_C6,0.917,13,0.819,1.000,0.240,1
,Q269_R7_C7,0.956,259,0.906,1.000,0.200,0
,Q269_R7_C8,0.958,1,0.825,1.000,0.189,0
,Q269_R7_C9,1.000,19,0.897,1.000,0.168,0
,Q269_R7_C10,1.000,19,0.897,1.000,0.168,0
,Q269_R10_C1,1.000,40,0.775,1.000,-0.046,0
,Q269_R10_C2,0.882,31,0.915,1.000,0.464,0
,Q269_R10_C3,0.889,26,0.867,1.000,0.334,0
,Q269_R10_C4,1.000,24,0.882,1.000,0.248,0
,Q269_R10_C5,0.912,57,0.897,1.000,0.368,0
,Q269_R10_C6,1.000,37,0.843,1.000,0.402,1
,Q269_R10_C7,0.966,20,0.873,1.000,0.241,0
,Q269_R10_C8,1.000,52,0.222,1.000,-0.143,1
,Q269_R10_C9,0.929,48,0.836,1.000,0.291,0
,Q269_R10_C10,0.885,28,0.903,1.000,0.427,0
,Q269_R20_C1,0.882,73,0.895,0.975,0.346,0
,Q269_R20_C2,1.000,26,0.684,1.000,-0.120,0
,Q269_R20_C3,1.000,4,0.786,1.000,-0.068,0
,Q269_R20_C4,0.935,261,0.878,1.000,0.168,0
,Q269_R20_C5,1.000,39,0.520,1.000,-0.005,0
,Q269_R20_C6,0.970,39,0.827,1.000,0.143,1
,Q269_R20_C7,0.964,28,0.844,1.000,0.185,1
,Q269_R20_C8,0.889,25,0.897,1.000,0.193,1
,Q269_R20_C9,1.000,28,0.716,1.000,0.077,0
,Q269_R20_C10,0.960,19,0.776,1.000,0.049,1
,Q269_R26_C1,0.960,29,0.836,1.000,0.254,1
,Q269_R26_C2,0.915,163,0.935,0.983,0.411,0
,Q269_R26_C3,1.000,53,0.463,1.000,0.201,1
,Q269_R26_C4,0.917,187,0.927,0.985,0.374,1
,Q269_R26_C5,0.941,71,0.876,1.000,0.059,1
,Q269_R26_C6,0.941,241,0.934,1.000,0.296,1
,Q269_R26_C7,0.971,63,0.846,1.000,-0.042,1
,Q269_R26_C8,0.941,27,0.740,1.000,0.099,0
,Q269_R26_C9,0.893,43,0.914,1.000,0.320,0
,Q269_R26_C10,0.972,56,0.873,1.000,0.327,0
,Q269_R27_C1,0.953,238,0.747,1.000,0.105,0
,Q269_R27_C2,0.963,17,0.834,1.000,0.298,0
,Q269_R27_C3,0.923,284,0.760,1.000,0.082,1
,Q269_R27_C4,0.952,8,0.847,1.000,0.290,0
,Q269_R27_C5,0.958,1,0.850,1.000,0.144,0
,Q269_R27_C6,0.927,141,0.922,1.000,0.401,1
,Q269_R27_C7,0.896,204,0.926,0.984,0.313,0
,Q269_R27_C8,0.952,270,0.893,1.000,0.177,1
,Q269_R27_C9,0.955,906,0.921,1.000,0.221,1
,Q269_R27_C10,0.902,210,0.939,1.000,0.493,1
,Q269_R29_C1,1.000,11,0.543,1.000,0.010,0
,Q269_R29_C2,0.966,33,0.843,1.000,0.218,0
,Q269_R29_C3,1.000,31,0.634,1.000,-0.023,0
,Q269_R29_C4,1.000,22,0.826,1.000,0.203,0
,Q269_R29_C5,1.000,26,0.817,1.000,0.201,0
,Q269_R29_C6,0.966,33,0.861,1.000,0.079,0
,Q269_R29_C7,0.950,16,0.870,1.000,0.166,0
,Q269_R29_C8,1.000,29,0.720,1.000,-0.111,0
,Q269_R29_C9,0.944,102,0.889,1.000,0.080,0
,Q269_R29_C10,0.957,315,0.887,1.000,0.051,0
,Q269_R38_C1,0.957,110,0.863,1.000,0.252,0
,Q269_R38_C2,1.000,25,0.848,1.000,0.255,0
,Q269_R38_C3,0.912,58,0.905,1.000,0.458,0
,Q269_R38_C4,0.948,206,0.907,1.000,0.366,0
,Q269_R38_C5,0.975,97,0.870,1.000,0.288,0
,Q269_R38_C6,0.962,172,0.851,1.000,0.025,0
,Q269_R38_C7,0.956,137,0.878,1.000,0.220,0
,Q269_R38_C8,0.940,132,0.885,1.000,0.326,0
,Q269_R38_C9,1.000,32,0.768,1.000,0.002,0
,Q269_R38_C10,0.971,86,0.899,1.000,0.359,0
,Q269_R40_C1,0.962,160,0.893,1.000,0.112,0
,Q269_R40_C2,0.944,63,0.889,1.000,0.174,0
,Q269_R40_C3,0.966,28,0.826,1.000,0.045,0
,Q269_R40_C4,0.882,14,0.728,1.000,0.310,0
,Q269_R40_C5,0.971,78,0.879,1.000,0.080,0
,Q269_R40_C6,0.955,463,0.910,0.991,0.225,0
,Q269_R40_C7,0.963,15,0.873,1.000,0.211,0
,Q269_R40_C8,0.975,948,0.884,1.000,-0.176,0
,Q269_R40_C9,1.000,4,0.722,1.000,0.029,0
,Q269_R40_C10,1.000,43,0.601,1.000,0.086,0
,Q269_R43_C1,0.952,64,0.882,1.000,0.239,0
,Q269_R43_C2,0.889,19,0.827,0.944,0.401,0
,Q269_R43_C3,0.920,2,0.822,1.000,0.204,0
,Q269_R43_C4,0.972,942,0.895,1.000,-0.100,1
,Q269_R43_C5,0.920,179,0.898,1.000,0.390,0
,Q269_R43_C6,1.000,0,0.834,1.000,-0.097,0
,Q269_R43_C7,1.000,59,0.783,1.000,-0.093,0
,Q269_R43_C8,1.000,11,0.599,1.000,-0.157,0
,Q269_R43_C9,1.000,25,0.591,1.000,-0.260,0
,Q269_R43_C10,1.000,19,0.853,1.000,0.043,0
,Q270_R37_C1,0.892,16,0.913,1.000,0.336,1
,Q270_R37_C2,0.949,37,0.689,1.000,-0.132,1
,Q270_R37_C3,1.000,87,0.000,1.000,0.160,0
,Q270_R37_C4,0.974,67,0.732,1.000,0.023,1
,Q270_R37_C5,0.897,11,0.862,0.968,0.189,1
,Q270_R37_C6,0.968,41,0.911,1.000,0.311,0
,Q270_R37_C7,0.946,132,0.909,1.000,0.171,1
,Q270_R37_C8,0.929,34,0.757,1.000,0.034,1
,Q270_R37_C9,0.942,264,0.903,1.000,0.260,0
,Q270_R37_C10,0.952,78,0.589,1.000,0.012,1
,Q270_R47_C1,1.000,47,0.840,1.000,0.136,0
,Q270_R47_C2,0.885,48,0.867,1.000,0.266,0
,Q270_R47_C3,0.941,1,0.862,1.000,0.096,0
,Q270_R47_C4,1.000,84,0.000,1.000,-0.246,0
,Q270_R47_C5,0.921,45,0.923,0.978,0.466,0
,Q270_R47_C6,1.000,63,0.834,1.000,0.267,0
,Q270_R47_C7,0.967,24,0.878,1.000,0.435,0
,Q270_R47_C8,0.943,7,0.870,1.000,0.405,0
,Q270_R47_C9,0.935,457,0.942,1.000,0.319,0
,Q270_R47_C10,0.962,53,0.847,1.000,0.222,0
,Q270_R51_C1,0.958,63,0.811,1.000,0.145,0
,Q270_R51_C2,0.974,38,0.824,1.000,-0.035,1
,Q270_R51_C3,0.886,11,0.942,1.000,0.517,1
,Q270_R51_C4,0.976,9,0.729,1.000,0.004,1
,Q270_R51_C5,0.925,51,0.822,0.979,0.110,1
,Q270_R51_C6,1.000,54,0.250,1.000,-0.108,1
,Q270_R51_C7,0.938,10,0.890,1.000,0.115,0
,Q270_R51_C8,0.967,23,0.891,1.000,0.384,0
,Q270_R51_C9,1.000,33,0.740,1.000,0.072,0
,Q270_R51_C10,0.962,51,0.818,1.000,0.290,0
,Q270_R54_C1,0.872,40,0.943,1.000,0.457,1
,Q270_R54_C2,0.921,90,0.860,1.000,0.112,0
,Q270_R54_C3,0.935,90,0.885,1.000,-0.081,0
,Q270_R54_C4,1.000,24,0.547,1.000,-0.105,0
,Q270_R54_C5,0.956,89,0.574,1.000,-0.200,0
,Q270_R54_C6,1.000,36,0.795,1.000,-0.004,0
,Q270_R54_C7,0.940,99,0.926,1.000,0.446,0
,Q270_R54_C8,0.875,57,0.922,1.000,0.252,1
,Q270_R54_C9,0.862,157,0.918,1.000,0.532,0
,Q270_R54_C10,0.933,160,0.925,1.000,0.359,1
,Q270_R58_C1,0.923,24,0.925,0.976,0.299,0
,Q270_R58_C2,1.000,39,0.830,1.000,0.268,1
,Q270_R58_C3,0.976,41,0.769,1.000,0.023,1
,Q270_R58_C4,0.806,25,0.911,0.944,0.417,1
,Q270_R58_C5,0.925,10,0.941,1.000,0.418,0
,Q270_R58_C6,1.000,62,0.790,1.000,0.262,0
,Q270_R58_C7,0.941,31,0.897,1.000,0.117,0
,Q270_R58_C8,0.935,31,0.929,1.000,0.137,1
,Q270_R58_C9,0.889,33,0.817,1.000,0.067,1
