id,question1_id,question2_id,jaccard_distance,length_difference,cosine_similarity,relevance
0,Q268,Q268_R4,0.86,149,0.702,1
1,Q268,Q268_R5,0.901,298,0.723,1
2,Q268,Q268_R10,0.875,122,0.653,1
3,Q268,Q268_R13,0.838,100,0.581,1
4,Q268,Q268_R14,0.915,349,0.65,1
5,Q268,Q268_R16,0.975,74,0.625,1
6,Q268,Q268_R19,0.882,110,0.646,1
7,Q268,Q268_R27,0.953,307,0.623,0
8,Q268,Q268_R29,0.886,150,0.718,1
9,Q268,Q268_R31,0.783,4,0.666,1
10,Q269,Q269_R3,0.8,171,0.759,1
11,Q269,Q269_R7,0.778,89,0.745,1
12,Q269,Q269_R10,0.81,104,0.644,0
13,Q269,Q269_R20,0.818,34,0.592,0
14,Q269,Q269_R26,0.743,29,0.753,1
15,Q269,Q269_R27,0.7,44,0.755,1
16,Q269,Q269_R29,0.915,312,0.706,0
17,Q269,Q269_R38,0.822,115,0.603,0
18,Q269,Q269_R40,0.883,217,0.751,0
19,Q269,Q269_R43,0.878,68,0.662,0
20,Q270,Q270_R37,0.871,256,0.534,1
21,Q270,Q270_R47,0.878,62,0.768,1
22,Q270,Q270_R51,0.9,31,0.77,1
23,Q270,Q270_R54,0.846,20,0.698,1
24,Q270,Q270_R58,0.825,12,0.801,1
25,Q270,Q270_R62,0.833,15,0.797,1
26,Q270,Q270_R64,0.85,125,0.799,1
27,Q270,Q270_R79,0.765,13,0.765,1
28,Q270,Q270_R84,0.889,25,0.726,1
29,Q270,Q270_R96,0.877,142,0.855,1
30,Q271,Q271_R4,0.919,107,0.735,1
31,Q271,Q271_R14,0.875,88,0.788,1
32,Q271,Q271_R24,0.903,101,0.866,0
33,Q271,Q271_R38,0.875,212,0.876,0
34,Q271,Q271_R57,0.927,3,0.781,0
35,Q271,Q271_R59,0.897,107,0.792,0
36,Q271,Q271_R63,0.933,205,0.849,0
37,Q271,Q271_R70,0.887,10,0.752,0
38,Q271,Q271_R71,0.924,56,0.666,0
39,Q271,Q271_R74,0.893,237,0.833,0
40,Q272,Q272_R8,0.872,4,0.864,1
41,Q272,Q272_R14,0.883,14,0.73,1
42,Q272,Q272_R15,0.921,65,0.741,1
43,Q272,Q272_R23,0.861,197,0.861,1
44,Q272,Q272_R30,0.899,51,0.598,1
45,Q272,Q272_R31,0.861,144,0.845,1
46,Q272,Q272_R34,0.858,65,0.799,1
47,Q272,Q272_R40,0.792,12,0.921,1
48,Q272,Q272_R51,0.832,140,0.884,1
49,Q272,Q272_R52,0.925,142,0.652,0
50,Q273,Q273_R3,0.872,90,0.79,1
51,Q273,Q273_R5,0.839,37,0.878,1
52,Q273,Q273_R7,0.902,61,0.806,0
53,Q273,Q273_R8,0.856,16,0.877,1
54,Q273,Q273_R9,0.969,223,0.696,1
55,Q273,Q273_R33,0.922,222,0.726,0
56,Q273,Q273_R39,0.919,29,0.761,1
57,Q273,Q273_R56,0.874,138,0.839,0
58,Q273,Q273_R60,0.877,90,0.716,0
