original_id,related_question_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
Q268,Q268_R4,0.894,149,0.902,0.982,0.475,PerfectMatch
Q268,Q268_R5,0.938,266,0.912,1.0,0.488,PerfectMatch
Q268,Q268_R10,0.947,104,0.899,1.0,0.563,PerfectMatch
Q268,Q268_R13,0.912,78,0.881,1.0,0.466,PerfectMatch
Q268,Q268_R14,0.938,334,0.902,1.0,0.507,Relevant
Q268,Q268_R16,0.971,73,0.886,1.0,0.39,Relevant
Q268,Q268_R19,0.9,97,0.868,1.0,0.421,Relevant
Q268,Q268_R27,0.964,282,0.89,1.0,0.555,Irrelevant
Q268,Q268_R29,0.902,140,0.904,1.0,0.451,PerfectMatch
Q269,Q269_R3,0.837,159,0.921,0.943,0.419,Relevant
Q269,Q269_R7,0.829,83,0.927,0.952,0.447,Relevant
Q269,Q269_R10,0.838,108,0.914,0.933,0.533,Irrelevant
Q269,Q269_R20,0.862,47,0.888,0.972,0.457,Irrelevant
Q269,Q269_R26,0.96,9,0.822,1.0,0.036,Relevant
Q269,Q269_R27,0.759,50,0.934,0.875,0.634,Relevant
Q269,Q269_R29,0.939,324,0.907,1.0,0.334,Irrelevant
Q269,Q269_R38,0.86,129,0.89,0.926,0.404,Irrelevant
Q269,Q269_R40,0.929,217,0.929,1.0,0.524,Irrelevant
Q269,Q269_R43,0.946,86,0.885,1.0,0.286,Irrelevant
Q270,Q270_R37,0.922,260,0.854,0.963,0.151,PerfectMatch
Q270,Q270_R47,0.911,76,0.907,1.0,0.121,Relevant
Q270,Q270_R51,0.941,9,0.941,1.0,0.437,PerfectMatch
Q270,Q270_R54,0.912,3,0.909,1.0,0.398,Relevant
Q270,Q270_R58,0.939,22,0.894,1.0,0.31,Relevant
Q270,Q270_R62,0.868,22,0.958,1.0,0.532,Relevant
Q270,Q270_R64,0.87,128,0.932,0.986,0.472,Relevant
Q270,Q270_R79,0.875,11,0.925,1.0,0.432,PerfectMatch
Q270,Q270_R84,0.958,48,0.81,1.0,0.026,Relevant
Q270,Q270_R96,0.904,131,0.959,1.0,0.484,Relevant
Q271,Q271_R4,0.929,102,0.946,1.0,0.365,Relevant
Q271,Q271_R14,0.866,95,0.938,0.978,0.415,PerfectMatch
Q271,Q271_R24,0.899,86,0.953,1.0,0.564,Irrelevant
Q271,Q271_R38,0.873,208,0.926,0.991,0.452,Irrelevant
Q271,Q271_R57,0.939,9,0.885,1.0,0.355,Irrelevant
Q271,Q271_R59,0.899,103,0.934,1.0,0.557,Irrelevant
Q271,Q271_R63,0.928,203,0.929,1.0,0.331,Irrelevant
Q271,Q271_R70,0.88,1,0.906,0.985,0.472,Irrelevant
Q271,Q271_R71,0.934,64,0.931,1.0,0.5,Irrelevant
Q271,Q271_R74,0.887,249,0.963,0.991,0.57,Irrelevant
Q272,Q272_R8,0.871,16,0.967,0.994,0.383,Relevant
Q272,Q272_R14,0.891,14,0.942,0.994,0.261,Relevant
Q272,Q272_R15,0.919,72,0.955,1.0,0.344,Relevant
Q272,Q272_R23,0.89,194,0.959,1.0,0.45,Relevant
Q272,Q272_R30,0.906,57,0.856,1.0,0.053,Relevant
Q272,Q272_R31,0.899,166,0.958,0.985,0.362,Relevant
