original_id,related_question_id,jaccard_distance,length_difference,cosine_similarity,relevance
Q1,Q1_R1,0.842,23,0.918,PerfectMatch
Q1,Q1_R6,0.886,187,0.91,Relevant
Q1,Q1_R8,0.905,153,0.883,Irrelevant
Q1,Q1_R10,0.892,132,0.913,Relevant
Q1,Q1_R22,0.923,13,0.831,Irrelevant
Q1,Q1_R25,0.952,110,0.767,Irrelevant
Q1,Q1_R27,0.944,6,0.848,Irrelevant
Q1,Q1_R32,0.963,52,0.889,PerfectMatch
Q1,Q1_R43,0.981,213,0.849,Irrelevant
Q1,Q1_R46,0.905,133,0.906,Irrelevant
Q2,Q2_R20,0.797,132,0.961,Relevant
Q2,Q2_R21,0.833,17,0.964,PerfectMatch
Q2,Q2_R32,0.817,149,0.966,Relevant
Q2,Q2_R46,0.803,173,0.964,Relevant
Q2,Q2_R60,0.887,131,0.956,PerfectMatch
Q2,Q2_R65,0.811,195,0.941,Irrelevant
Q2,Q2_R74,0.714,70,0.955,Relevant
Q2,Q2_R80,0.815,13,0.929,Irrelevant
Q2,Q2_R81,0.792,254,0.956,Relevant
Q2,Q2_R83,0.841,73,0.915,Relevant
Q3,Q3_R1,0.935,27,0.944,PerfectMatch
Q3,Q3_R13,0.985,141,0.942,Relevant
Q3,Q3_R25,0.905,176,0.938,Irrelevant
Q3,Q3_R46,0.881,14,0.922,Relevant
Q3,Q3_R49,0.92,321,0.89,Relevant
Q3,Q3_R60,0.935,258,0.937,Irrelevant
Q3,Q3_R61,0.869,255,0.969,Relevant
Q3,Q3_R68,0.912,131,0.949,Irrelevant
Q3,Q3_R77,0.944,256,0.94,PerfectMatch
Q3,Q3_R79,0.914,286,0.937,Irrelevant
Q4,Q4_R6,0.882,28,0.97,Relevant
Q4,Q4_R8,0.915,307,0.913,Irrelevant
Q4,Q4_R9,0.91,121,0.962,Irrelevant
Q4,Q4_R11,0.976,158,0.617,Irrelevant
Q4,Q4_R14,0.909,215,0.962,Irrelevant
Q4,Q4_R18,0.857,91,0.975,Relevant
Q4,Q4_R21,0.843,73,0.973,Irrelevant
Q4,Q4_R23,0.902,67,0.962,Irrelevant
Q4,Q4_R25,0.857,205,0.959,Relevant
Q4,Q4_R28,0.89,126,0.957,Irrelevant
Q5,Q5_R3,0.855,69,0.962,Relevant
Q5,Q5_R4,0.897,47,0.912,PerfectMatch
Q5,Q5_R6,0.89,18,0.923,Irrelevant
Q5,Q5_R9,0.908,260,0.947,Irrelevant
Q5,Q5_R17,0.873,70,0.959,Irrelevant
Q5,Q5_R44,0.878,210,0.959,Irrelevant
Q5,Q5_R47,0.871,154,0.954,Irrelevant
Q5,Q5_R48,0.885,28,0.955,Irrelevant
Q5,Q5_R54,0.868,24,0.957,Irrelevant
Q5,Q5_R55,0.909,56,0.961,Irrelevant
Q6,Q6_R2,0.846,176,0.954,Irrelevant
Q6,Q6_R3,0.977,224,0.972,PerfectMatch
Q6,Q6_R5,0.889,215,0.969,PerfectMatch
Q6,Q6_R6,0.868,14,0.955,Relevant
Q6,Q6_R8,0.902,246,0.957,Irrelevant
Q6,Q6_R13,0.917,55,0.965,PerfectMatch
Q6,Q6_R32,0.844,110,0.969,Relevant
Q6,Q6_R38,0.831,180,0.963,Irrelevant
Q6,Q6_R39,0.926,8,0.961,Irrelevant
Q6,Q6_R46,0.915,143,0.963,Irrelevant
Q7,Q7_R22,0.833,29,0.938,Relevant
Q7,Q7_R24,0.862,121,0.952,Irrelevant
Q7,Q7_R26,0.868,238,0.966,Irrelevant
Q7,Q7_R31,0.873,167,0.949,Irrelevant
Q7,Q7_R35,0.875,26,0.907,Irrelevant
Q7,Q7_R36,0.926,67,0.928,Irrelevant
