question_id,related_question_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
236203783777,236203783777_R111417797067,0.913,12,0.919,1.0,0.367,Irrelevant
236203783777,236203783777_R223248892008,0.926,210,0.941,1.0,0.235,Irrelevant
236203783777,236203783777_R346322463359,0.927,21,0.925,1.0,0.121,Irrelevant
236203783777,236203783777_R311285158104,0.912,185,0.938,1.0,0.208,Irrelevant
236203783777,236203783777_R605372350975,0.909,233,0.93,1.0,0.402,Irrelevant
236203783777,236203783777_R140204727556,0.932,857,0.945,0.995,0.037,Irrelevant
236203783777,236203783777_R245296128608,0.93,66,0.893,1.0,0.133,Irrelevant
236203783777,236203783777_R116311975478,0.926,292,0.929,1.0,0.029,Irrelevant
236203783777,236203783777_R122243527499,0.902,17,0.942,1.0,0.363,Irrelevant
236203783777,236203783777_R261556808546,0.92,1135,0.938,0.993,0.171,Irrelevant
121884365637,121884365637_R251295757837,0.933,328,0.936,1.0,0.121,Irrelevant
121884365637,121884365637_R247995477139,0.881,106,0.968,0.994,0.235,Irrelevant
121884365637,121884365637_R566164070168,0.917,337,0.959,1.0,0.316,Irrelevant
121884365637,121884365637_R223192603864,0.891,131,0.969,0.977,0.321,Irrelevant
121884365637,121884365637_R204996007446,0.888,83,0.953,0.989,0.26,Irrelevant
121884365637,121884365637_R575495276992,0.925,541,0.966,0.996,0.025,Irrelevant
121884365637,121884365637_R241226583801,0.954,382,0.916,1.0,-0.117,Irrelevant
121884365637,121884365637_R290332807004,0.902,24,0.958,0.995,0.103,Irrelevant
121884365637,121884365637_R489547808371,0.914,299,0.936,1.0,0.214,Irrelevant
121884365637,121884365637_R328457263915,0.893,819,0.965,0.988,0.238,Irrelevant
200518515287,200518515287_R117506274643,0.948,247,0.926,1.0,0.207,Irrelevant
200518515287,200518515287_R107646309200,0.843,25,0.976,0.994,0.48,Irrelevant
200518515287,200518515287_R662090649637,0.929,256,0.95,1.0,0.151,Irrelevant
200518515287,200518515287_R237254623679,0.865,50,0.974,0.968,0.408,Irrelevant
200518515287,200518515287_R275337594557,0.85,2,0.969,0.982,0.464,Irrelevant
200518515287,200518515287_R101334132417,0.883,622,0.972,0.992,0.28,Irrelevant
200518515287,200518515287_R290537928795,0.945,301,0.912,1.0,0.094,Irrelevant
200518515287,200518515287_R286114258637,0.891,57,0.965,0.989,0.134,Irrelevant
200518515287,200518515287_R164538185734,0.885,218,0.958,0.983,0.457,Irrelevant
200518515287,200518515287_R234947137644,0.897,900,0.968,0.991,0.235,Irrelevant
