question_id,related_question_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,w2v_cosine_similarity,relevance
Q268,Q268_R4,Q268_R4_C1,1.0,181,0.593,0.101,Good
Q268,Q268_R4,Q268_R4_C2,0.847,339,0.938,0.549,Good
Q268,Q268_R4,Q268_R4_C3,0.871,39,0.908,0.431,PotentiallyUseful
Q268,Q268_R4,Q268_R4_C4,1.0,185,0.575,0.197,Good
Q268,Q268_R4,Q268_R4_C5,0.935,168,0.839,0.346,Good
Q268,Q268_R4,Q268_R4_C6,0.917,72,0.852,0.377,Good
Q268,Q268_R4,Q268_R4_C7,0.824,47,0.907,0.453,Good
Q268,Q268_R4,Q268_R4_C8,0.939,149,0.889,0.284,PotentiallyUseful
Q268,Q268_R4,Q268_R4_C9,0.912,25,0.952,0.515,PotentiallyUseful
Q268,Q268_R4,Q268_R4_C10,0.902,55,0.965,0.6,Bad
Q268,Q268_R5,Q268_R5_C1,0.945,214,0.939,0.403,Good
Q268,Q268_R5,Q268_R5_C2,0.966,303,0.698,0.279,Good
Q268,Q268_R5,Q268_R5_C3,0.983,299,0.542,0.231,Good
Q268,Q268_R5,Q268_R5_C4,0.874,110,0.957,0.434,Good
Q268,Q268_R5,Q268_R5_C5,0.969,282,0.839,0.33,Bad
Q268,Q268_R5,Q268_R5_C6,0.943,231,0.859,0.321,Bad
Q268,Q268_R5,Q268_R5_C7,0.928,247,0.927,0.402,Bad
Q268,Q268_R5,Q268_R5_C8,0.969,281,0.806,0.293,Good
Q268,Q268_R5,Q268_R5_C9,0.985,274,0.858,0.225,Good
Q268,Q268_R5,Q268_R5_C10,0.983,306,0.767,0.37,Good
Q268,Q268_R10,Q268_R10_C1,0.919,55,0.941,0.398,Good
Q268,Q268_R10,Q268_R10_C2,0.947,101,0.872,0.342,Good
Q268,Q268_R10,Q268_R10_C3,0.946,56,0.867,0.288,Good
Q268,Q268_R10,Q268_R10_C4,1.0,131,0.848,0.318,Good
Q268,Q268_R10,Q268_R10_C5,0.871,101,0.964,0.553,PotentiallyUseful
Q268,Q268_R10,Q268_R10_C6,0.912,42,0.954,0.589,PotentiallyUseful
Q268,Q268_R10,Q268_R10_C7,1.0,149,0.461,0.049,Good
Q268,Q268_R10,Q268_R10_C8,0.825,62,0.941,0.572,Bad
Q268,Q268_R10,Q268_R10_C9,0.977,70,0.74,-0.025,Bad
Q268,Q268_R10,Q268_R10_C10,1.0,144,0.599,0.007,Bad
Q268,Q268_R13,Q268_R13_C1,0.864,0,0.935,0.477,Bad
Q268,Q268_R13,Q268_R13_C2,0.929,198,0.943,0.341,Good
Q268,Q268_R13,Q268_R13_C3,0.973,52,0.874,0.267,Good
Q268,Q268_R13,Q268_R13_C4,1.0,14,0.783,0.077,Bad
Q268,Q268_R13,Q268_R13_C5,1.0,122,0.553,0.089,Bad
Q268,Q268_R13,Q268_R13_C6,0.906,301,0.922,0.162,PotentiallyUseful
Q268,Q268_R13,Q268_R13_C7,0.921,66,0.873,0.261,Good
Q268,Q268_R13,Q268_R13_C8,0.97,30,0.647,0.163,Bad
Q268,Q268_R13,Q268_R13_C9,0.939,85,0.79,0.142,Bad
Q268,Q268_R13,Q268_R13_C10,0.841,287,0.968,0.334,PotentiallyUseful
Q268,Q268_R14,Q268_R14_C1,0.986,335,0.682,0.262,Good
Q268,Q268_R14,Q268_R14_C2,0.959,291,0.926,0.495,Good
Q268,Q268_R14,Q268_R14_C3,0.984,355,0.761,0.405,Good
Q268,Q268_R14,Q268_R14_C4,0.985,346,0.935,0.521,Good
Q268,Q268_R14,Q268_R14_C5,0.953,350,0.928,0.5,Bad
Q268,Q268_R14,Q268_R14_C6,0.93,291,0.958,0.646,Good
Q268,Q268_R14,Q268_R14_C7,0.953,340,0.873,-0.016,Bad
Q268,Q268_R14,Q268_R14_C8,0.984,353,0.834,0.27,PotentiallyUseful
Q268,Q268_R14,Q268_R14_C9,0.88,222,0.961,0.472,Good
Q268,Q268_R14,Q268_R14_C10,0.867,9,0.968,0.432,Good
Q268,Q268_R16,Q268_R16_C1,0.951,35,0.935,0.349,Bad
Q268,Q268_R16,Q268_R16_C2,1.0,73,0.914,0.529,Bad
Q268,Q268_R16,Q268_R16_C3,0.932,95,0.959,0.516,Bad
Q268,Q268_R16,Q268_R16_C4,0.93,552,0.964,0.251,Good
Q268,Q268_R16,Q268_R16_C5,0.931,61,0.921,0.372,Good
Q268,Q268_R16,Q268_R16_C6,0.897,28,0.939,0.64,PotentiallyUseful
Q268,Q268_R16,Q268_R16_C7,0.931,194,0.958,0.281,PotentiallyUseful
Q268,Q268_R16,Q268_R16_C8,0.904,55,0.944,0.485,Bad
Q268,Q268_R16,Q268_R16_C9,0.869,194,0.967,0.525,Bad
Q268,Q268_R16,Q268_R16_C10,0.932,359,0.958,0.379,Good
Q268,Q268_R19,Q268_R19_C1,0.943,58,0.861,0.519,Good
Q268,Q268_R19,Q268_R19_C2,1.0,49,0.689,0.204,Bad
Q268,Q268_R19,Q268_R19_C3,0.983,61,0.896,0.17,Good
Q268,Q268_R19,Q268_R19_C4,0.9,56,0.912,0.429,PotentiallyUseful
Q268,Q268_R19,Q268_R19_C5,0.98,10,0.891,0.235,Good
Q268,Q268_R19,Q268_R19_C6,0.9,44,0.891,0.265,PotentiallyUseful
Q268,Q268_R19,Q268_R19_C7,0.956,13,0.905,0.214,PotentiallyUseful
Q268,Q268_R19,Q268_R19_C8,0.985,200,0.887,0.23,PotentiallyUseful
Q268,Q268_R19,Q268_R19_C9,0.941,364,0.9,0.152,PotentiallyUseful
Q268,Q268_R19,Q268_R19_C10,0.982,83,0.891,0.271,Good
Q268,Q268_R27,Q268_R27_C1,0.946,277,0.924,0.459,Bad
Q268,Q268_R27,Q268_R27_C2,0.855,252,0.947,0.62,Bad
Q268,Q268_R27,Q268_R27_C3,0.907,284,0.916,0.617,Bad
Q268,Q268_R27,Q268_R27_C4,0.703,156,0.973,0.764,Bad
Q268,Q268_R27,Q268_R27_C5,0.925,273,0.925,0.435,PotentiallyUseful
Q268,Q268_R27,Q268_R27_C6,0.864,197,0.952,0.513,Bad
Q268,Q268_R27,Q268_R27_C7,0.983,285,0.923,0.416,Bad
Q268,Q268_R27,Q268_R27_C8,0.909,199,0.969,0.44,Good
Q268,Q268_R27,Q268_R27_C9,0.929,172,0.946,0.538,Bad
Q268,Q268_R27,Q268_R27_C10,0.857,200,0.963,0.57,Bad
Q268,Q268_R29,Q268_R29_C1,0.981,65,0.858,-0.047,Good
Q268,Q268_R29,Q268_R29_C2,0.833,45,0.93,0.565,Bad
Q268,Q268_R29,Q268_R29_C3,0.984,15,0.926,0.032,Bad
Q268,Q268_R29,Q268_R29_C4,0.838,373,0.973,0.541,Bad
Q268,Q268_R29,Q268_R29_C5,0.926,76,0.878,0.472,Bad
Q268,Q268_R29,Q268_R29_C6,0.783,170,0.969,0.629,Good
Q268,Q268_R29,Q268_R29_C7,0.912,54,0.951,0.212,Good
Q268,Q268_R29,Q268_R29_C8,0.881,41,0.928,0.548,Bad
Q268,Q268_R29,Q268_R29_C9,0.883,190,0.972,0.39,Bad
Q268,Q268_R29,Q268_R29_C10,0.864,563,0.968,0.52,Good
Q269,Q269_R3,Q269_R3_C1,0.926,95,0.844,0.206,Bad
Q269,Q269_R3,Q269_R3_C2,0.899,351,0.974,0.55,Good
Q269,Q269_R3,Q269_R3_C3,0.893,111,0.973,0.591,Bad
Q269,Q269_R3,Q269_R3_C4,0.857,14,0.969,0.565,Good
Q269,Q269_R3,Q269_R3_C5,0.915,9,0.966,0.393,Good
Q269,Q269_R3,Q269_R3_C6,1.0,167,0.866,0.067,Bad
Q269,Q269_R3,Q269_R3_C7,1.0,200,0.621,0.119,Good
Q269,Q269_R3,Q269_R3_C8,0.931,103,0.924,0.5,Bad
Q269,Q269_R3,Q269_R3_C9,0.894,143,0.945,0.566,Bad
Q269,Q269_R3,Q269_R3_C10,0.941,153,0.793,0.31,Bad
Q269,Q269_R7,Q269_R7_C1,0.941,16,0.909,0.252,Good
Q269,Q269_R7,Q269_R7_C2,0.9,66,0.873,0.373,Good
Q269,Q269_R7,Q269_R7_C3,0.975,89,0.83,0.274,Good
Q269,Q269_R7,Q269_R7_C4,0.906,115,0.826,0.434,Good
Q269,Q269_R7,Q269_R7_C5,0.943,111,0.854,0.481,Good
Q269,Q269_R7,Q269_R7_C6,0.925,70,0.886,0.329,PotentiallyUseful
Q269,Q269_R7,Q269_R7_C7,0.9,176,0.939,0.255,Bad
Q269,Q269_R7,Q269_R7_C8,0.923,84,0.852,0.162,Bad
Q269,Q269_R7,Q269_R7_C9,0.976,64,0.913,0.101,Bad
Q269,Q269_R7,Q269_R7_C10,0.976,64,0.913,0.101,Bad
Q269,Q269_R10,Q269_R10_C1,0.957,68,0.877,0.205,Good
Q269,Q269_R10,Q269_R10_C2,0.914,139,0.886,0.268,Bad
Q269,Q269_R10,Q269_R10_C3,0.917,134,0.889,0.308,PotentiallyUseful
Q269,Q269_R10,Q269_R10_C4,0.98,84,0.88,0.046,Bad
Q269,Q269_R10,Q269_R10_C5,0.902,51,0.899,0.194,PotentiallyUseful
Q269,Q269_R10,Q269_R10_C6,0.974,145,0.822,0.32,Bad
Q269,Q269_R10,Q269_R10_C7,0.935,88,0.86,0.044,Bad
Q269,Q269_R10,Q269_R10_C8,1.0,160,0.249,-0.096,Good
Q269,Q269_R10,Q269_R10_C9,1.0,156,0.766,0.024,Bad
Q269,Q269_R10,Q269_R10_C10,0.909,80,0.89,0.259,PotentiallyUseful
Q269,Q269_R20,Q269_R20_C1,0.379,26,0.984,0.817,Good
Q269,Q269_R20,Q269_R20_C2,1.0,73,0.739,0.055,Good
Q269,Q269_R20,Q269_R20_C3,0.968,51,0.799,0.125,Good
Q269,Q269_R20,Q269_R20_C4,0.846,214,0.932,0.504,Good
