question_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
Q268,Q268_R4_C1,1.0,32,0.604,1.0,0.245,Good
Q268,Q268_R4_C2,0.963,488,0.922,1.0,0.531,Good
Q268,Q268_R4_C3,0.979,188,0.867,1.0,0.367,PotentiallyUseful
Q268,Q268_R4_C4,1.0,36,0.62,1.0,0.334,Good
Q268,Q268_R4_C5,0.882,19,0.809,1.0,0.471,PotentiallyUseful
Q268,Q268_R4_C6,0.842,77,0.877,1.0,0.455,Good
Q268,Q268_R4_C7,0.889,102,0.908,1.0,0.44,Good
Q268,Q268_R4_C8,0.952,0,0.817,1.0,0.346,PotentiallyUseful
Q268,Q268_R4_C9,0.9,124,0.888,0.933,0.474,Good
Q268,Q268_R4_C10,0.947,204,0.892,1.0,0.347,PotentiallyUseful
Q268,Q268_R5_C1,0.889,52,0.916,1.0,0.374,Good
Q268,Q268_R5_C2,0.923,37,0.597,1.0,0.34,Bad
Q268,Q268_R5_C3,0.923,33,0.548,1.0,0.397,Good
Q268,Q268_R5_C4,0.946,376,0.93,1.0,0.526,Good
Q268,Q268_R5_C5,1.0,16,0.784,1.0,0.318,Bad
Q268,Q268_R5_C6,0.875,35,0.806,1.0,0.286,Bad
Q268,Q268_R5_C7,1.0,19,0.824,1.0,0.376,Bad
Q268,Q268_R5_C8,1.0,15,0.673,1.0,0.421,Good
Q268,Q268_R5_C9,0.952,8,0.822,1.0,0.238,Good
Q268,Q268_R5_C10,1.0,40,0.809,1.0,0.338,Good
Q268,Q268_R10_C1,1.0,159,0.875,1.0,0.372,PotentiallyUseful
Q268,Q268_R10_C2,0.9,3,0.87,1.0,0.567,Good
Q268,Q268_R10_C3,0.95,48,0.843,1.0,0.42,Good
Q268,Q268_R10_C4,0.933,27,0.862,1.0,0.493,Good
Q268,Q268_R10_C5,0.894,205,0.935,1.0,0.512,PotentiallyUseful
Q268,Q268_R10_C6,0.872,146,0.918,0.98,0.592,PotentiallyUseful
Q268,Q268_R10_C7,1.0,45,0.444,1.0,0.242,Good
Q268,Q268_R10_C8,0.964,42,0.888,1.0,0.568,Bad
Q268,Q268_R10_C9,1.0,34,0.703,1.0,0.047,Bad
Q268,Q268_R10_C10,1.0,40,0.501,1.0,-0.077,Bad
Q268,Q268_R13_C1,0.939,78,0.913,0.972,0.378,PotentiallyUseful
Q268,Q268_R13_C2,0.966,276,0.878,1.0,0.365,Good
Q268,Q268_R13_C3,1.0,26,0.867,1.0,0.481,Good
Q268,Q268_R13_C4,1.0,64,0.768,1.0,0.266,PotentiallyUseful
Q268,Q268_R13_C5,1.0,44,0.386,1.0,-0.188,Bad
Q268,Q268_R13_C6,0.946,379,0.9,1.0,0.148,PotentiallyUseful
Q268,Q268_R13_C7,0.818,12,0.929,1.0,0.677,Good
Q268,Q268_R13_C8,1.0,48,0.563,1.0,0.159,Bad
Q268,Q268_R13_C9,1.0,7,0.8,1.0,0.406,Bad
Q268,Q268_R13_C10,0.919,365,0.919,1.0,0.622,Good
Q268,Q268_R14_C1,0.955,1,0.629,1.0,0.258,PotentiallyUseful
Q268,Q268_R14_C2,1.0,43,0.829,1.0,0.376,PotentiallyUseful
Q268,Q268_R14_C3,0.938,21,0.684,1.0,0.326,PotentiallyUseful
Q268,Q268_R14_C4,0.947,12,0.815,1.0,0.372,Bad
Q268,Q268_R14_C5,0.947,16,0.819,1.0,0.395,Bad
Q268,Q268_R14_C6,1.0,43,0.857,1.0,0.347,Bad
Q268,Q268_R14_C7,1.0,6,0.84,1.0,-0.049,Bad
Q268,Q268_R14_C8,1.0,19,0.705,1.0,0.155,Bad
Q268,Q268_R14_C9,0.972,112,0.874,1.0,0.201,PotentiallyUseful
Q268,Q268_R14_C10,0.941,325,0.881,1.0,0.361,PotentiallyUseful
Q268,Q268_R16_C1,0.964,38,0.869,1.0,0.314,Bad
Q268,Q268_R16_C2,0.952,0,0.902,1.0,0.492,Bad
Q268,Q268_R16_C3,0.935,168,0.878,1.0,0.478,Bad
Q268,Q268_R16_C4,0.942,625,0.924,1.0,0.575,PotentiallyUseful
Q268,Q268_R16_C5,0.979,134,0.844,1.0,0.357,Good
Q268,Q268_R16_C6,1.0,45,0.839,1.0,0.308,Bad
Q268,Q268_R16_C7,0.967,267,0.893,1.0,0.419,Bad
Q268,Q268_R16_C8,0.951,128,0.901,1.0,0.478,Bad
Q268,Q268_R16_C9,0.962,267,0.873,1.0,0.262,PotentiallyUseful
Q268,Q268_R16_C10,0.947,432,0.916,1.0,0.353,PotentiallyUseful
Q268,Q268_R19_C1,1.0,39,0.811,1.0,0.331,PotentiallyUseful
Q268,Q268_R19_C2,1.0,48,0.601,1.0,0.059,Bad
Q268,Q268_R19_C3,0.957,158,0.902,1.0,0.299,PotentiallyUseful
Q268,Q268_R19_C4,0.927,153,0.893,1.0,0.448,Bad
Q268,Q268_R19_C5,0.947,107,0.899,1.0,0.266,PotentiallyUseful
Q268,Q268_R19_C6,0.977,141,0.862,1.0,0.312,Bad
Q268,Q268_R19_C7,0.971,84,0.867,1.0,0.39,PotentiallyUseful
Q268,Q268_R19_C8,0.981,297,0.872,1.0,0.105,Bad
Q268,Q268_R19_C9,0.957,461,0.882,1.0,0.273,PotentiallyUseful
Q268,Q268_R19_C10,0.978,180,0.863,1.0,0.219,Bad
Q268,Q268_R27_C1,1.0,5,0.824,1.0,0.299,Bad
Q268,Q268_R27_C2,0.962,30,0.876,1.0,0.422,Bad
Q268,Q268_R27_C3,0.85,2,0.896,1.0,0.658,Bad
Q268,Q268_R27_C4,0.956,126,0.896,1.0,0.453,Bad
Q268,Q268_R27_C5,1.0,9,0.861,1.0,0.188,Bad
Q268,Q268_R27_C6,0.946,85,0.845,1.0,0.324,Bad
Q268,Q268_R27_C7,1.0,3,0.815,1.0,0.277,Bad
Q268,Q268_R27_C8,0.963,481,0.902,1.0,0.369,Bad
Q268,Q268_R27_C9,0.917,110,0.896,1.0,0.421,Bad
Q268,Q268_R27_C10,0.909,82,0.87,1.0,0.301,Bad
Q268,Q268_R29_C1,1.0,75,0.78,1.0,-0.016,Good
Q268,Q268_R29_C2,0.919,95,0.826,1.0,0.279,Bad
Q268,Q268_R29_C3,1.0,125,0.844,1.0,0.023,Bad
Q268,Q268_R29_C4,0.947,513,0.888,1.0,0.518,PotentiallyUseful
Q268,Q268_R29_C5,0.971,64,0.769,1.0,0.054,Bad
Q268,Q268_R29_C6,0.911,310,0.917,1.0,0.444,Good
Q268,Q268_R29_C7,0.938,194,0.903,1.0,0.295,Good
Q268,Q268_R29_C8,0.976,99,0.811,1.0,0.086,Bad
Q268,Q268_R29_C9,0.967,330,0.893,1.0,0.338,Bad
Q268,Q268_R29_C10,0.943,703,0.902,0.994,0.525,PotentiallyUseful
Q268,Q268_R31_C1,1.0,4,0.711,1.0,0.256,PotentiallyUseful
Q268,Q268_R31_C2,1.0,16,0.845,1.0,0.412,PotentiallyUseful
Q268,Q268_R31_C3,0.941,29,0.854,1.0,0.55,Good
Q268,Q268_R31_C4,1.0,41,0.6,1.0,0.165,Good
Q268,Q268_R31_C5,1.0,41,0.6,1.0,0.165,Good
Q268,Q268_R31_C6,1.0,41,0.6,1.0,0.165,Good
Q268,Q268_R31_C7,0.931,235,0.928,1.0,0.556,Good
Q268,Q268_R31_C8,0.933,34,0.522,1.0,0.415,Good
Q268,Q268_R31_C9,0.867,27,0.901,1.0,0.552,Good
Q268,Q268_R31_C10,0.923,59,0.91,1.0,0.482,Good
Q269,Q269_R3_C1,0.968,64,0.731,1.0,0.068,Bad
Q269,Q269_R3_C2,0.95,510,0.912,1.0,0.407,Bad
Q269,Q269_R3_C3,0.875,48,0.901,1.0,0.443,PotentiallyUseful
Q269,Q269_R3_C4,0.898,173,0.931,0.983,0.316,Bad
Q269,Q269_R3_C5,0.915,168,0.927,0.982,0.398,Bad
Q269,Q269_R3_C6,0.955,8,0.784,1.0,0.144,Bad
Q269,Q269_R3_C7,1.0,41,0.669,1.0,0.036,Bad
Q269,Q269_R3_C8,1.0,56,0.848,1.0,0.25,Bad
Q269,Q269_R3_C9,0.818,16,0.856,0.917,0.353,Bad
Q269,Q269_R3_C10,1.0,6,0.653,1.0,0.1,Bad
Q269,Q269_R7_C1,0.972,67,0.889,1.0,0.26,Good
Q269,Q269_R7_C2,0.92,17,0.78,1.0,0.136,Good
Q269,Q269_R7_C3,0.957,6,0.809,1.0,0.386,Good
Q269,Q269_R7_C4,0.941,32,0.71,1.0,0.319,Good
Q269,Q269_R7_C5,0.947,28,0.797,1.0,0.353,Good
Q269,Q269_R7_C6,0.917,13,0.819,1.0,0.24,PotentiallyUseful
Q269,Q269_R7_C7,0.956,259,0.906,1.0,0.2,Bad
Q269,Q269_R7_C8,0.958,1,0.825,1.0,0.189,Bad
Q269,Q269_R7_C9,1.0,19,0.897,1.0,0.168,Bad
Q269,Q269_R7_C10,1.0,19,0.897,1.0,0.168,Bad
Q269,Q269_R10_C1,1.0,40,0.775,1.0,-0.046,Bad
Q269,Q269_R10_C2,0.882,31,0.915,1.0,0.464,Bad
Q269,Q269_R10_C3,0.889,26,0.867,1.0,0.334,Bad
